id,facility,issue,priority,status,date,complaints,energy,temp,occupancy,type,lat,lon
#5001,Industrial Substation Alpha,33kV Feed breaker arc flash alert,HIGH,Pending,2026-09-05,15,850,34.5,12,Administrative,40.7128,-74.0060
#5002,Cold Chain Warehouse 1,Refrigeration compressor 2 trip,HIGH,Pending,2026-09-04,13,620,-18.5,25,Others,40.7150,-74.0020
#5003,Automotive Assembly Plant,Robotic arm 4 hydraulic leak,HIGH,In Progress,2026-09-04,9,710,29.0,180,Academic,40.7100,-74.0100
#5004,Pharma Cleanroom Unit,HEPA filter static pressure drop,HIGH,In Progress,2026-09-03,7,450,20.0,45,Academic,40.7180,-73.9980
#5005,Logistics Dispatch Hub,Conveyor belt 3 roller bearing,MEDIUM,Completed,2026-09-03,4,330,25.0,90,Others,40.7115,-74.0040
#5006,Micro-Grid Battery Facility,BMS Module 8 cell voltage alert,HIGH,Pending,2026-09-02,11,780,31.0,15,Administrative,40.7200,-74.0080
#5007,Chemical Processing Plant,Neutralization tank pH sensor,HIGH,In Progress,2026-09-02,8,540,26.5,50,Academic,40.7085,-74.0120
#5008,Water Treatment Works,Chlorine dosing pump maintenance,MEDIUM,Completed,2026-09-01,3,290,23.0,30,Others,40.7140,-73.9950
#5009,Data Processing Vault 4,CRAC Unit 3 condensate leak,HIGH,Pending,2026-09-01,10,690,21.5,18,Administrative,40.7220,-74.0010
#5010,Heavy Foundry Yard,Induction furnace water jacket,HIGH,Pending,2026-08-31,14,920,38.0,65,Others,40.7060,-74.0150
#5011,Textile Spinning Mill,Humidification duct pressure drop,MEDIUM,Completed,2026-08-31,5,380,27.0,110,Academic,40.7170,-74.0050
#5012,Biomass Power Generator,Turbine lube oil temperature,HIGH,In Progress,2026-08-30,9,740,33.0,22,Administrative,40.7240,-73.9920
#5013,Air Cargo Logistics Hub,Freight elevator hydraulic valve,MEDIUM,Completed,2026-08-30,4,310,24.5,75,Others,40.7090,-74.0030
#5014,Semiconductor Wafer Fab,De-ionized water resistivity,HIGH,Pending,2026-08-29,12,810,19.5,40,Academic,40.7195,-74.0110
#5015,Port Grain Terminal,Silage conveyor dust extraction,LOW,Completed,2026-08-29,2,240,26.0,35,Others,40.7050,-74.0070
